State;Community Number;Community Name;CRS Entry Date;Current Effective Date;Current Class;% Discount for SFHA;% Discount for Non- SFHA;Status
AL;010146;Athens, City of  ;01.10.1991;01.10.1998;10;0;0;R 
AL;010071;Atmore, City of  ;01.05.2002;01.05.2019;10;0;0;R
AL;010144;Auburn, City of  ;01.05.2014;01.05.2014;7;15;5;C 
AL;015000;Baldwin County  ;01.10.1995;01.05.2017;7;15;5;C 
AL;010116;Birmingham, City of  ;01.10.1994;01.10.2017;5;25;10;C 
AL;010418;Dauphin Island, Town of  ;01.05.2001;01.05.2019;7;15;5;C 
AL;010176;Decatur, City of  ;01.10.1991;01.10.2005;10;0;0;R 
AL;010007;Foley, City of  ;01.05.2017;01.05.2017;8;10;5;C 
AL;015005;Gulf Shores, City of  ;01.10.1993;01.10.2013;8;10;5;C 
AL;015006;Homewood, City of  ;01.10.2001;01.10.2001;9;5;5;C 
AL;010123;Hoover, City of  ;01.10.1991;01.10.2020;8;10;5;C 
AL;010153;Huntsville, City of  ;01.10.1991;01.10.2012;8;10;5;C 
AL;010151;Madison County  ;01.05.2014;01.05.2014;9;5;5;C 
AL;015007;Mobile, City of  ;01.10.1992;01.10.1993;10;0;0;R 
AL;015011;Orange Beach, City of  ;01.10.1991;01.10.2007;7;15;5;C 
AL;010189;Pell City, City of  ;01.10.1992;01.05.2012;8;10;5;C 
AL;010002;Prattville, City of  ;01.10.1991;01.05.2008;8;10;5;C 
AL;010203;Tuscaloosa, City of  ;01.05.2016;01.05.2017;8;10;5;C 
AL;010070;Wetumpka, City of  ;01.10.1991;01.05.2018;10;0;0;R
AK;020005;Anchorage, Municipality of ;01.10.1995;01.05.2020;7;15;5;C
AK;020107;Homer, City of ;01.05.2016;01.10.2020;9;5;5;C
AK;020012;Kenai Peninsula, Borough of ;01.05.2000;01.10.2020;9;5;5;C
AK;020003;Ketchikan Gateway Borough ;01.10.2005;01.05.2016;10;0;0;R
AK;020069;Nome, City of ;01.10.2005;01.05.2020;8;10;5;C
AK;020113;Seward, City of ;01.10.2005;01.10.2020;10;0;0;R
AK;020094;Valdez, City of ;01.10.1992;01.05.2020;8;10;5;C
AZ;040013;Benson, Town of ;01.10.1991;01.10.1992;10;0;0;R
AZ;040014;Bisbee, City of ;01.10.1991;01.10.1992;10;0;0;R
AZ;040131;Camp Verde, Town of ;01.10.1991;01.05.2017;8;10;5;C
AZ;040080;Casa Grande, City of ;01.10.1991;01.10.2012;8;10;5;C
AZ;040040;Chandler, City of ;01.10.1991;01.05.2004;7;15;5;C
AZ;040094;Chino Valley, Town of ;01.10.1991;01.10.2011;10;0;0;R
AZ;040095;Clarkdale, Town of ;01.10.1991;01.05.2017;8;10;5;C
AZ;040012;Cochise County ;01.10.1991;01.10.1991;9;5;5;C
AZ;040019;Coconino County ;01.10.1991;01.10.1999;8;10;5;C
AZ;040061;Dewey-Humboldt, Town of ;01.10.2007;01.05.2017;8;10;5;C
AZ;040020;Flagstaff, City of ;01.10.1991;01.05.2014;5;25;10;C
AZ;040028;Gila County ;01.10.1991;01.10.1992;10;0;0;R
AZ;040044;Gilbert, Town of ;01.10.1991;01.05.2019;7;15;5;C
AZ;040045;Glendale, City of ;01.10.1991;01.05.2010;7;15;5;C
AZ;040067;Holbrook, City of ;01.10.1995;01.10.2014;7;15;5;C
AZ;040118;Marana, Town of ;01.10.2012;01.05.2018;7;15;5;C
AZ;040037;Maricopa County ;01.10.1991;01.05.2012;4;30;10;C
AZ;040048;Mesa, City of ;01.10.1991;01.05.1998;10;0;0;R
AZ;040058;Mohave County ;01.10.1995;01.05.2013;6;20;10;C
AZ;040066;Navajo County ;01.10.1992;01.05.2008;8;10;5;C
AZ;040092;Patagonia, Town of;01.10.2018;01.10.2018;9;5;5;C
AZ;040051;Phoenix, City of ;01.10.1992;01.10.2018;5;25;10;C
AZ;040073;Pima County  ;01.10.1991;01.05.2007;5;25;10;C
AZ;040077;Pinal County  ;01.05.2015;01.05.2020;6;20;10;C
AZ;040098;Prescott, City of ;01.10.1991;01.05.2018;8;10;5;C
AZ;040090;Santa Cruz County ;01.10.2003;01.05.2018;8;10;5;C
AZ;045012;Scottsdale, City of ;01.10.1991;01.05.2018;5;25;10;C
AZ;040130;Sedona, City of ;01.10.1991;01.05.2011;8;10;5;C
AZ;040069;Show Low, City of ;01.10.1991;01.05.2020;9;5;5;C
AZ;040054;Tempe, City of ;01.10.1991;01.05.2017;6;20;10;C
AZ;040076;Tucson, City of ;01.10.1991;01.10.2007;6;20;10;C
AZ;040056;Wickenburg, Town of ;01.10.1992;01.10.2007;10;0;0;R
AZ;040031;Winkelman, Town of ;01.10.1991;01.10.1995;10;0;0;R
AZ;040093;Yavapai County ;01.10.1991;01.10.2016;7;15;5;C
AR;050029;Arkadelphia, City of  ;01.10.1991;01.10.2018;8;10;5;C
AR;050192;Benton, City of  ;01.10.1993;01.05.2017;10;0;0;R 
AR;050419;Benton County  ;01.05.2005;01.05.2005;8;10;5;C 
AR;050012;Bentonville, City of  ;01.10.1992;01.10.2002;8;10;5;C 
AR;050140;Blytheville, City of  ;01.10.1995;01.10.1995;9;5;5;C 
AR;050046;Bono, City of  ;01.10.1992;01.05.2017;10;0;0;R 
AR;050308;Bryant, City of  ;01.10.1992;01.05.2016;10;0;0;R 
AR;050399;Centerton, City of  ;01.10.2013;01.10.2013;9;5;5;C 
AR;050216;Fayetteville, City of  ;01.05.2016;01.10.2018;8;10;5;C
AR;050433;Garland County   ;01.10.1993;01.10.1993;9;5;5;C 
AR;050020;Harrison, City of ;01.10.2017;01.10.2017;9;5;5;C
AR;050168;Helena, City of  ;01.10.1993;01.10.1999;10;0;0;R 
AR;050084;Hot Springs, City of  ;01.10.1993;01.10.2006;8;10;5;C 
AR;050180;Jacksonville, City of  ;01.10.1994;01.10.2016;9;5;5;C 
AR;050440;Jefferson County  ;01.05.2017;01.05.2017;9;5;5;C 
AR;050048;Jonesboro, City of  ;01.10.1992;01.05.2013;8;10;5;C 
AR;050181;Little Rock, City of  ;01.10.1991;01.10.2011;7;15;5;C 
AR;050088;Malvern, City of  ;01.10.1991;01.10.1996;10;0;0;R 
AR;050109;Pine Bluff, City of  ;01.10.1994;01.10.1995;10;0;0;R 
AR;050219;Springdale, City of;01.10.2018;01.10.2018;8;10;5;C
AR;050137;Texarkana, City of   ;01.05.2013;01.05.2013;9;5;5;C 
AR;050053;Van Buren, City of  ;01.05.2009;01.05.2019;9;5;5;C 
AR;050055;West Memphis, City of  ;01.10.1992;01.05.2020;8;10;5;C 
CA;060001;Alameda County ;01.10.1992;01.10.1999;7;15;5;C
CA;060002;Alameda, City of ;01.10.2019;01.10.2019;8;10;5;NA
CA;060213;Anaheim, City of ;01.10.1991;01.05.2007;8;10;5;C
CA;065019;Burlingame, City of ;01.05.2012;01.05.2012;9;5;5;C
CA;060714;Clearlake, City of ;01.05.2003;01.10.2008;10;0;0;R
CA;065022;Concord, City of ;01.10.2008;01.05.2020;6;20;10;C
CA;060025;Contra Costa County ;01.10.1991;01.05.2018;5;25;10;C
CA;065023;Corte Madera, Town of ;01.10.2003;01.10.2009;7;15;5;C
CA;060339;Cupertino, City of ;01.10.2005;01.05.2015;7;15;5;C
CA;060708;East Palo Alto, City of ;01.10.2011;01.05.2019;7;15;5;M
CA;060175;Fairfax, Town of ;01.10.2017;01.10.2017;9;5;5;C
CA;060370;Fairfield, City of ;01.10.1992;01.05.2009;7;15;5;C
CA;060218;Fountain Valley, City of ;01.10.1996;01.05.2015;9;5;5;C
CA;065028;Fremont, City of ;01.05.2001;01.05.2001;7;15;5;C
CA;060048;Fresno, City of ;01.10.1992;01.10.2007;8;10;5;C
CA;065029;Fresno County ;01.10.1991;01.05.2016;7;15;5;C
CA;060340;Gilroy, City of ;01.05.2007;01.05.2007;8;10;5;C
CA;065034;Huntington Beach, City of ;01.10.1995;01.10.2020;7;15;5;C
CA;060222;Irvine, City of ;01.10.1991;01.10.2012;9;5;5;C
CA;060075;Kern County ;01.10.1991;01.05.2020;9;5;5;C
CA;060090;Lake County  ;01.10.1995;01.05.2020;8;10;5;C
CA;060636;Lake Elsinore, City of ;01.10.2009;01.05.2014;8;10;5;C
CA;060738;Lathrop, City of ;01.10.2008;01.10.2008;8;10;5;C
CA;060395;Live Oak, City of  ;01.10.2011;01.05.2015;10;0;0;R
CA;060008;Livermore, City of  ;01.05.2015;01.10.2020;6;20;10;C
CA;060136;Long Beach, City of ;01.10.1993;01.10.2012;8;10;5;C
CA;060341;Los Altos, City of ;01.10.1991;01.10.1996;8;10;5;C
CA;060137;Los Angeles, City of ;01.10.1991;01.10.2005;7;15;5;C
CA;065043;Los Angeles County ;01.10.1991;01.05.2011;7;15;5;C
CA;060706;Manteca, City of ;01.05.2009;01.05.2019;10;0;0;R
CA;060173;Marin County ;01.05.2016;01.05.2018;6;20;10;C
CA;060321;Menlo Park, City of;01.10.2020;01.10.2020;8;10;5;C
CA;060344;Milpitas, City of ;01.10.1991;01.05.2013;7;15;5;C
CA;060735;Mission Viejo, City of ;01.10.2005;01.05.2015;7;15;5;C
CA;060195;Monterey County  ;01.10.1991;01.10.2020;5;25;10;C
CA;065074;Moreno Valley, City of ;01.10.1991;01.10.1996;8;10;5;C
CA;060346;Morgan Hill, City of ;01.05.2003;01.05.2003;7;15;5;C
CA;060307;Morro Bay, City of ;01.10.2013;01.05.2018;7;15;5;C
CA;060347;Mountain View, City of ;01.05.2002;01.05.2019;7;15;5;C
CA;060751;Murrieta, City of ;01.10.1997;01.10.1997;9;5;5;C
CA;060205;Napa County ;01.05.2018;01.05.2018;7;15;5;C 
CA;060207;Napa, City of ;01.05.2001;01.05.2017;7;15;5;C
CA;060388;Newman, City of  ;01.05.2015;01.05.2015;9;5;5;C
CA;060227;Newport Beach, City of ;01.10.1993;01.05.2020;7;15;5;C
CA;060178;Novato, City of ;01.10.1995;01.05.2010;6;20;10;C
CA;060294;Oceanside, City of ;01.10.1991;01.10.1996;8;10;5;C
CA;060228;Orange, City of ;01.10.1992;01.10.1992;9;5;5;C
CA;060212;Orange County  ;01.10.1991;01.05.2017;5;25;10;C
CA;060417;Oxnard, City of ;01.05.2013;01.05.2018;7;15;5;C
CA;060323;Pacifica, City of ;01.05.2013;01.05.2013;7;15;5;C
CA;060257;Palm Springs, City of ;01.10.1992;01.05.2011;6;20;10;C
CA;060348;Palo Alto, City of ;01.10.1991;01.05.2017;6;20;10;C
CA;060390;Patterson, City of ;01.05.2015;01.05.2015;9;5;5;C
CA;060379;Petaluma, City of ;01.10.1991;01.10.1996;6;20;10;C
CA;060239;Placer County ;01.10.1991;01.05.2009;5;25;10;C
CA;060034;Pleasant Hill, City of  ;01.05.2003;01.10.2018;9;5;5;C
CA;060012;Pleasanton, City of ;01.10.1992;01.10.2017;7;15;5;C
CA;060702;Poway, City of ;01.05.2008;01.05.2008;8;10;5;C
CA;060360;Redding, City of ;01.10.1996;01.05.2008;6;20;10;C
CA;060279;Redlands, City of ;01.10.2007;01.10.2015;8;10;5;C
CA;060035;Richmond, City of ;01.10.1995;01.05.2015;10;0;0;R
CA;060245;Riverside County ;01.10.2010;01.05.2016;7;15;5;C
CA;060243;Roseville, City of ;01.10.1992;01.10.2006;1;45;10;C
CA;060179;Ross, Town of ;01.05.2015;01.05.2015;8;10;5;C
CA;060266;Sacramento, City of ;01.10.1991;01.10.2018;2;40;10;C
CA;060262;Sacramento County  ;01.10.1992;01.05.2017;2;40;10;C
CA;060202;Salinas, City of ;01.10.1991;01.10.2013;7;15;5;C
CA;060180;San Anselmo, Town of ;01.05.2016;01.05.2016;9;5;5;C
CA;060327;San Carlos, City of ;01.05.2013;01.05.2013;9;5;5;C
CA;060284;San Diego County  ;01.10.1994;01.05.2020;7;15;5;C
CA;060299;San Joaquin County ;01.10.1993;01.10.2018;7;15;5;C
CA;060349;San Jose, City of ;01.10.1991;01.10.2001;7;15;5;C
CA;060231;San Juan Capistrano, City of ;01.10.1991;01.05.2017;8;10;5;C
CA;060013;San Leandro, City of ;01.10.2006;01.10.2006;8;10;5;C
CA;060310;San Luis Obispo, City of ;01.10.1991;01.05.2017;6;20;10;C
CA;060311;San Mateo County ;01.10.2010;01.10.2010;9;5;5;C
CA;060036;San Pablo, City of ;01.10.2013;01.10.2013;8;10;5;C
CA;060710;San Ramon, City of ;01.10.1991;01.05.2011;6;20;10;C
CA;060331;Santa Barbara County  ;01.10.1991;01.05.2006;6;20;10;C
CA;060350;Santa Clara, City of ;01.05.2002;01.10.2019;7;15;5;C
CA;060337;Santa Clara County ;01.05.2004;01.05.2009;10;0;0;R
CA;060729;Santa Clarita, City of ;01.10.2001;01.05.2014;7;15;5;C
CA;060355;Santa Cruz, City of ;01.10.1992;01.05.2002;7;15;5;C
CA;060353;Santa Cruz County ;01.10.2012;01.10.2012;8;10;5;C
CA;060182;Sausalito, City of;01.05.2019;01.05.2019;9;5;5;NA
CA;060421;Simi Valley, City of ;01.10.1993;01.10.2019;5;25;10;M
CA;060631;Solano County  ;01.10.1991;01.10.2018;7;15;5;C
CA;060375;Sonoma County ;01.10.1991;01.10.1992;10;0;0;R
CA;060302;Stockton, City of ;01.10.1996;01.10.1997;8;10;5;C
CA;060352;Sunnyvale, City of ;01.10.1998;01.05.2009;7;15;5;C
CA;060394;Sutter County ;01.10.2008;01.05.2020;6;20;10;C
CA;060400;Tehama, City of ;01.10.2003;01.05.2013;5;25;10;C
CA;060401;Trinity County ;01.05.2011;01.05.2011;9;5;5;C
CA;060373;Vacaville, City of ;01.10.1995;01.10.2000;8;10;5;C
CA;060413;Ventura County ;01.10.2011;01.05.2016;5;25;10;C
CA;060409;Visalia, City of ;01.10.2011;01.05.2018;7;15;5;C
CA;065070;Walnut Creek, City of ;01.10.1991;01.05.2011;8;10;5;C
CA;060357;Watsonville, City of ;01.10.1992;01.10.2018;7;15;5;C
CA;060728;West Sacramento, City of ;01.10.2011;01.05.2017;6;20;10;C
CA;060238;Yorba Linda, City of ;01.10.1993;01.10.2004;10;0;0;R
CA;060423;Yolo County ;01.10.2010;01.10.2010;8;10;5;C
CA;060396;Yuba City, City of ;01.10.2007;01.10.2019;6;20;10;C
CA;060427;Yuba County ;01.10.2003;01.05.2013;6;20;10;C
CA;060739;Yucaipa, City of ;01.10.2011;01.10.2015;10;0;0;R
CO;080001;Adams County  ;01.10.2016;01.10.2016;9;5;5;C
CO;080010;Alamosa, City of ;01.10.1991;01.05.2016;7;15;5;C
CO;080009;Alamosa County ;01.10.1996;01.10.2011;10;0;0;R
CO;080011;Arapahoe County  ;01.10.1991;01.10.2015;7;15;5;C
CO;080273;Archuleta County ;01.10.1992;01.10.1998;10;0;0;R
CO;085072;Arvada, City of ;01.10.1991;01.05.2010;5;25;10;C
CO;080002;Aurora, City of ;01.10.1992;01.05.2018;7;15;5;C
CO;080024;Boulder, City of ;01.10.1992;01.10.2013;5;25;10;C
CO;080023;Boulder County  ;01.10.1991;01.10.2015;5;25;10;C
CO;080130;Brush, City of ;01.10.1994;01.10.1994;9;5;5;C
CO;080068;Canon City, City of ;01.10.1992;01.10.2013;8;10;5;C
CO;080315;Centennial, City of ;01.05.2010;01.10.2015;7;15;5;C
CO;080013;Cherry Hills Village, City of ;01.10.1996;01.10.2016;7;15;5;C
CO;080060;Colorado Springs, City of ;01.10.1992;01.10.2017;5;25;10;C
CO;080043;Delta, City of ;01.10.1996;01.05.2015;8;10;5;C
CO;080046;Denver, City and County of ;01.10.1996;01.05.2017;7;15;5;C
CO;080049;Douglas County ;01.10.1996;01.05.2020;5;25;10;C
CO;080099;Durango, City of ;01.10.1992;01.10.1992;9;5;5;C
CO;080051;Eagle County ;01.10.2008;01.10.2018;7;15;5;C
CO;080059;El Paso County ;01.10.1992;01.10.2010;7;15;5;C
CO;085074;Englewood, City of ;01.10.1995;01.10.2011;7;15;5;C
CO;080102;Fort Collins, City of ;01.10.1991;01.05.2016;2;40;10;C
CO;080061;Fountain, City of ;01.10.1992;01.10.2010;7;15;5;C
CO;080067;Fremont County  ;01.10.1993;01.05.2008;9;5;5;C
CO;080245;Frisco, Town of ;01.10.1993;01.10.1998;8;10;5;C
CO;080090;Golden, City of ;01.10.1996;01.05.2011;7;15;5;C
CO;080062;Green Mountain Falls, Town of ;01.10.2003;01.10.2010;7;15;5;C
CO;080080;Gunnison, City of ;01.10.1995;01.05.2019;8;10;5;C
CO;080078;Gunnison County  ;01.10.1994;01.05.2018;9;5;5;C
CO;080087;Jefferson County ;01.10.2005;01.10.2020;5;25;10;C
CO;085075;Lakewood, City of ;01.10.1991;01.10.2005;6;20;10;C
CO;080101;Larimer County  ;01.10.1992;01.10.1997;10;0;0;R
CO;080017;Littleton, City of ;01.10.1992;01.10.2018;5;25;10;C
CO;080027;Longmont, City of ;01.10.1992;01.05.2019;5;25;10;C
CO;085076;Louisville, City of ;01.10.1991;01.05.2020;6;20;10;C
CO;080103;Loveland, City of ;01.10.2010;01.05.2016;6;20;10;C
CO;080063;Manitou Springs, City of ;01.10.1992;01.10.2010;7;15;5;C
CO;080115;Mesa County ;01.05.2006;01.05.2016;8;10;5;C
CO;080064;Monument, Town of ;01.10.2003;01.10.2010;7;15;5;C
CO;080092;Morrison, Town of ;01.10.1996;01.10.2019;8;10;5;C
CO;080065;Palmer Lake, Town of ;01.10.2003;01.10.2010;7;15;5;C
CO;080310;Parker, Town of ;01.10.1992;01.05.2017;5;25;10;C
CO;080287;Pitkin County ;01.10.1992;01.10.1997;8;10;5;C
CO;080153;Rio Grande County  ;01.10.1992;01.10.1997;10;0;0;R
CO;080018;Sheridan, City of ;01.10.1993;01.10.2003;10;0;0;R
CO;080201;Silverthorne, Town of ;01.10.1996;01.10.2016;8;10;5;C
CO;080159;Steamboat Springs, Town of ;01.10.1993;01.05.2015;7;15;5;C
CO;080168;Telluride, Town of ;01.10.1994;01.10.2020;10;0;0;R
CO;080007;Thornton, City of ;01.10.1994;01.05.2015;6;20;10;C
CO;080054;Vail, Town of ;01.10.1991;01.10.2001;7;15;5;C
CO;080008;Westminster, City of ;01.10.1991;01.05.2013;6;20;10;C
CO;085079;Wheat Ridge, City of ;01.10.1991;01.10.2017;5;25;10;C
CT;090074;Cheshire, Town of ;01.10.1993;01.10.2003;10;0;0;R
CT;090076;East Haven, Town of ;01.10.2003;01.10.2010;10;0;0;R
CT;090096;East Lyme, Town of ;01.10.1991;01.05.2016;8;10;5;C
CT;090007;Fairfield, Town of ;01.10.2016;01.10.2016;8;10;5;C
CT;090077;Guilford, Town of ;01.05.2018;01.05.2018;9;5;5;C 
CT;090078;Hamden, Town of ;01.10.1993;01.10.2006;10;0;0;R
CT;090082;Milford, City of ;01.05.2012;01.05.2012;9;5;5;C
CT;090084;New Haven, City of  ;01.05.2017;01.05.2017;7;15;5;C
CT;090011;Newtown, Town of ;01.10.1991;01.10.1991;9;5;5;C
CT;090012;Norwalk, City of ;01.10.1993;01.10.1998;10;0;0;R
CT;090102;Norwich, City of;01.05.2020;01.05.2020;8;10;5;NA
CT;090015;Stamford, City of ;01.10.2002;01.10.2002;7;15;5;C
CT;090193;Stonington, Borough of ;01.10.2004;01.10.2014;8;10;5;C
CT;090106;Stonington, Town of ;01.10.2017;01.10.2019;7;15;5;M
CT;090016;Stratford, Town of;01.05.2019;01.05.2019;8;10;5;NA
CT;090017;Trumbull, Town of;01.05.2019;01.05.2019;8;10;5;NA
CT;095082;West Hartford, Town of ;01.10.1991;01.10.2007;8;10;5;C
